Date;Time;Temp_C;Hum;Press_Bar;TempCabine_C;Charge;SR_Wm2;WindPeak_ms;WindSpeed_Inst;WindSpeed_Avg;WindDir_Inst;WindDir_Avg;Estacao
01/04/2025;00:00;9.7;59.72;1014.02;17.47;13.06;556.7;1.03;3.35;1.68;253.16;22.28;A;
01/04/2025;00:10;22.16;34.45;1011.83;29.27;12.62;48.93;6.77;2.34;1.84;355.45;276.57;A;
01/04/2025;00:20;34.01;33.7;1013.03;24.78;13.09;541.48;6.57;2.07;5.02;99.62;246.35;A;
01/04/2025;00:30;28.89;88.89;1010.96;21.89;12.81;556.76;0.48;9.28;9.46;175.23;252.33;A;
01/04/2025;00:40;25.96;42.32;1004.05;19.41;13.09;516.35;9.44;2.97;8.39;289.4;212.23;A;
01/04/2025;00:50;25.27;58.83;1011.58;17.04;13.18;55.6;11.55;2.32;9.53;35.84;124.15;A;
01/04/2025;01:00;19.12;55.29;1021.23;24.05;13.12;246.31;11.2;9.11;7.6;312.22;111.55;A;
01/04/2025;01:10;17.53;58.07;1015.29;30.87;12.51;329.74;11.28;1.39;6.68;147.28;230.23;A;
01/04/2025;01:20;26.7;80.83;1014.5;22.95;12.82;493.31;11.76;7.51;0.38;6.12;101.54;A;
01/04/2025;01:30;22.65;84.36;1011.17;25.13;12.54;120.13;1.97;9.86;5.42;238.56;170.85;A;
01/04/2025;01:40;17.22;59.52;1009.33;28.55;12.57;115.42;8.88;0.16;4.88;20.35;128.16;A;
01/04/2025;01:50;24.89;64.22;1011.97;28.57;13.14;68.0;1.38;4.89;8.77;226.52;79.43;A;
01/04/2025;02:00;25.4;35.14;1014.27;22.32;12.61;810.51;5.55;3.95;4.58;119.23;285.55;A;
01/04/2025;02:10;29.73;49.11;1020.28;26.72;12.88;142.49;0.09;4.33;9.19;128.57;56.84;A;
01/04/2025;02:20;18.18;35.4;1011.07;21.54;12.61;392.81;0.11;1.75;4.37;2.9;185.71;A;
01/04/2025;02:30;26.53;33.3;1009.84;23.82;12.95;715.84;11.06;8.92;0.52;332.45;252.28;A;
01/04/2025;02:40;26.98;64.43;1013.7;19.76;13.08;102.82;9.97;0.63;2.52;11.64;114.54;A;
01/04/2025;02:50;10.02;84.13;1008.65;25.22;12.6;626.94;3.96;0.71;6.38;225.23;9.88;A;
